"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,147.434720455832,1439.01504724707,421.242058445235,1,192.267350798154,147.434720455832,18.3671049454715,"BART_2011_tempumid_alllags_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
2,182.088950404332,1531.80204397606,520.254144012377,0.977777777777778,250.702281735816,182.088950404332,21.8544094736785,"BART_2011_tempumid_alllags_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
3,233.626123883129,2022.58674611737,667.503211094655,0.888888888888889,337.054286693794,233.626123883129,30.8205556303023,"BART_2011_tempumid_alllags_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
4,301.388515457446,2827.91347002001,861.11004416413,0.822222222222222,409.684946150338,301.388515457446,35.9596722045875,"BART_2011_tempumid_alllags_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
