"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,318.990123318973,8319.50144776023,911.400352339923,0.288888888888889,475.168408738537,318.990123318973,32.3561530978322,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined"
2,370.392757693581,9476.06324284015,1058.26502198166,0.222222222222222,511.327472573836,370.392757693581,38.8712784035299,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined"
3,409.549232968886,11164.5289979148,1170.14066562539,0.2,613.893960045259,409.549232968886,41.7446253278061,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined"
4,362.292465002614,8990.88419760099,1035.1213285789,0.266666666666667,493.731310968799,362.292465002614,39.0013011873274,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined"
