"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,131.971371049887,1119.3624742487,377.061060142534,1,177.99368924647,131.971371049887,15.3346553417715,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_logtransform"
2,182.175660308516,1181.05713402344,520.50188659576,0.977777777777778,230.041728393115,182.175660308516,20.2373565672866,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_logtransform"
3,223.937063780293,1494.74526866647,639.820182229409,0.888888888888889,285.600140465646,223.937063780293,26.7727501921792,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_logtransform"
4,288.795299887304,2643.0189320093,825.129428249439,0.755555555555556,339.368930138609,288.795299887304,33.4851876981273,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_logtransform"
