"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,194.248339304808,4549.10654599698,554.995255156594,0.355555555555556,276.04496194069,194.248339304808,20.9512305811683,"BART_2011_no_climate"
2,236.891132992273,5882.75956537668,676.831808549353,0.355555555555556,335.63908304838,236.891132992273,23.8519194993835,"BART_2011_no_climate"
3,259.979789105676,6671.08363993608,742.799397444788,0.333333333333333,368.535286740951,259.979789105676,26.9632710745288,"BART_2011_no_climate"
4,314.093318321319,8140.12461157866,897.409480918053,0.311111111111111,425.434657045783,314.093318321319,30.9539300381503,"BART_2011_no_climate"
