"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,146.999823986095,1890.84785728312,419.999497103129,0.666666666666667,185.604654321198,146.999823986095,19.3341367866664,"BART"
2,226.246770979243,4465.10117877163,646.41934565498,0.444444444444444,281.262670603625,226.246770979243,30.5516425632018,"BART"
3,319.497734948736,7893.87748365505,912.850671282103,0.355555555555556,394.474698073219,319.497734948736,44.1067842153023,"BART"
4,437.871948230071,12231.7619043283,1251.06270922878,0.177777777777778,524.837676705292,437.871948230071,59.5619082679618,"BART"
