"horizon","mean_ae","mean_is","mean_wis","coverage_95","rmse","mae","mape","model_name"
1,116.799167477298,852.769217330838,333.711907077994,1,157.012024110842,116.799167477298,14.4293124473736,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
2,150.445949318654,904.2925949989,429.845569481869,0.955555555555556,195.997969968099,150.445949318654,17.3151178271292,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
3,180.75132446169,1535.61037595073,516.432355604828,0.844444444444444,234.367986267758,180.75132446169,21.8554201878452,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
4,237.017098582301,2510.15223111599,677.191710235146,0.755555555555556,293.349910899891,237.017098582301,27.5116014929173,"BART_2011_tempumid_lag1_tempcomp_humidrisk_andbothcombined_boxcoxtransform"
